region_code,category_id,video_id,title,published_at,view_count,like_count,comment_count,channel_title
US,1,lo6F8m4EdhM,Feminist STOPS Grocery Line to Shame Men expressionless_face,2024-06-11,1168511,67411,7192,Benny Johnson
US,1,cuW7EiVQmhg,How Do We Know You're Cops? man_police_officeroncoming_police_car | Breaking Bad -,2024-06-10,838597,30291,265,Mr_Johnn7
US,1,S-OeHE2ij5I,Peak character design,2024-06-09,2286802,294454,2066,Macsuit
US,1,ezM0_ojgN0M,He Was Hungry…,2024-06-15,711853,27010,149,LudwigMovies
US,1,grmgYF0kktw,Security Guard Full Speed Chase man_runningpolice_car_light,2024-06-04,6825838,0,1242,ALI CHEESER
US,1,cJD3PoL0H5o,How did she do it?,2024-05-27,19029983,245818,480,PavloBobo
US,1,kHwwQ4ecpR8,Eric No Cutting in Line! Jannie Teaches Him to Wait His Turn,2024-06-08,11633559,219567,0,Toys and Colors
US,1,so8tPtqZ8Rg,Bart Sneaks Into School...,2024-06-12,597234,44311,32,Presidents Argue
US,1,TVVDoCyDLxo,Brad pitt fight! - mark Normand,2024-06-11,821041,34111,415,mark normand
US,1,Qs8s6b8l61A,face_screaming_in_fearmusical_note RUN AWAY IF YOU HEAR THIS SONG,2024-06-06,7326734,397462,5292,Baboom
US,1,MWr-A4xQ8xI,What happens when you have an evaluation system?,2024-06-08,3686324,253555,599,Wiggins clip
US,1,EDbCM5cwOqc,Spongebob team his wife is pregnant,2024-05-31,56027300,895767,1351,BOWOWERZ 2
US,1,RmJ6eqZ9CI0,“Do We Have Explosion Insurance?”,2024-06-14,1196567,100361,389,SaucyTV
US,1,DSE7ohjTb7M,He SAVED her COTTON CANDY from the WATER face_screaming_in_fearfearful_facegrinning_face_with_sweat,2024-06-09,2442792,33133,52,Marta and Rustam Skits
US,1,1Se-xE18fk0,"Diabetes Up, Syndrome DOWNdouble_exclamation_markpeachmoney_with_wings",2024-06-07,4245206,268179,257,Decs Movies
US,1,doDByJB4IJQ,How I Met My Father,2024-06-14,3179653,108893,6393,MSA previously My Story Animated
US,1,ehrNtChS_ak,Fatality! skull,2024-06-11,661878,38087,315,CinemaTV
US,1,9ai6uKUO6bI,GOHAN AND PICCOLO IN NAMEK,2024-06-11,1251781,165348,908,Ejiogu Dennis
US,1,rOOsAyiVOEc,God controls humans like toys....anxious_face_with_sweat,2024-05-31,584543,53725,314,Gift Box
US,1,pGwU8fXKWrU,Gummy Bears Chasing The Rock,2024-06-11,966044,20380,140,HmmFish
US,1,GjBzs96MCCU,Tom Brady Roast Lesson | Nimesh Patel,2024-06-04,466571,16981,79,Nimesh Patel
US,1,84OsGN72VOI,Please check out the original video from @overanalyzingavatar  Is it possible to over-overanalyze?,2024-06-11,846431,82627,499,xTheFirstx
US,1,_9Wq1H6TjxY,Luffy Garp Onepiece,2024-06-13,1768903,108510,702,Sarotsi X
